# Constructed from biom file
OTU ID	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25
b73d09348f81b6d2d14fdd45bdf88578	0	2613	0	2204	0	2135	0	1854	0	1707	0	792	8	0	1462	1032	2231	723	929	799	1097	403	0	1194	0
eb94baa57d7746edcf291d7b09d8a3f4	0	379	0	896	69	795	173	674	0	1492	0	1459	0	9	3446	850	2660	1267	890	988	866	982	869	1851	1961
ed6cd1e11946265ca1773289f27e5b6e	0	0	0	5	277	4	239	7	23845	4	18777	4	11094	11705	2	15	13	4	5	0	4	4	4	6	5
6cb37a97bc7534072faac27fd40a6b87	0	42	0	10	0	0	0	28	0	2618	0	1971	0	7	1698	0	179	0	296	0	8	0	0	0	0
78145b0bd868822c64e965964ea33fd5	147	2322	177	1821	41	2071	97	1573	0	1487	0	711	0	0	1303	870	1903	639	824	734	867	365	0	939	0
aeb421789dec0474c565e725552245d1	0	0	0	13	0	0	0	9	0	1344	0	1275	0	0	115	0	0	0	0	0	29	0	0	0	0
42aac09d40c9309a715fc990a9d7a8c4	250	6	197	10	162	5	189	0	8985	3	9193	0	5580	5664	0	1431	11	2637	0	2061	2	2108	32	7	339
0f0d12404f9241cc36baa0fe49af10ce	0	1383	0	3296	0	3508	2	2709	0	62	2	4	0	0	0	5603	2201	9889	1639	4873	1000	5240	1363	1409	3140
528e94cab21143098c9d340d076f0039	418	5010	330	2683	247	2298	694	2487	0	1706	7	256	0	0	5542	0	4626	0	3038	0	2179	0	952	993	2710
e49d09e6106fb73393f45449c15f3b75	0	13	0	0	0	0	0	0	14	1269	0	1076	0	0	133	0	0	0	26	0	0	0	0	0	0
63ef3eeb17288b31c6c025204405259b	0	1527	0	96	0	44	0	50	4	1964	0	1808	0	0	456	0	10	0	85	4	9	0	0	0	0
491eac5aaef16ced98fe58bcd9dcde25	1775	0	1875	0	3923	0	3391	5	4942	0	2059	0	2	2068	11	902	29	1609	0	528	0	402	2	0	0
c4578a81fbb953bb1b24bc5e852c7c08	6272	6	5339	0	973	0	2514	9	2203	3	516	0	0	1070	0	0	0	0	9	0	4	0	0	0	0
e46f083b4b16449b4d84e4b1e43c36dc	0	22	0	0	0	0	0	32	0	1703	0	1260	0	0	1092	0	110	0	186	0	0	0	0	0	0
f311a97b9b1779382c25d644ff792229	3772	0	3535	7	758	10	2155	0	0	0	0	7	0	0	0	0	28	0	0	0	0	0	8	0	3
764fe29901c3d8aac7ae7d1baf722be2	114	0	242	0	771	0	563	0	0	0	0	0	0	0	0	0	3541	0	778	0	625	0	0	0	0
0b5bc35b864a429e11635859564965ea	7	124	0	114	0	101	0	44	0	0	0	32	0	0	54	0	1326	0	402	0	239	0	0	0	0
f24a67d812a1be9eab18b382d86b8f1d	0	710	0	0	0	0	0	0	0	2934	0	0	0	0	6445	1785	5609	0	1811	0	1731	2053	0	3699	0
dfc168f0f80ee32425a7dedb9f8e3095	78	52	39	1374	22	729	36	2145	0	177	0	16	0	0	2690	1844	4743	2063	2964	1101	785	1348	0	1367	0
9b54fa99623069bfe4dbf22ea05f9edb	0	5	0	56	0	42	0	53	0	8	0	5	0	0	306	0	411	5	9	0	5	2	0	2	0
1a703c26efe13d78fe0da633b28204c3	0	0	0	36	193	0	644	21	0	8	0	0	0	0	0	3125	0	2761	0	1924	0	2648	0	0	0
0ba4a61d2f06411bf7da8600a3e44626	200	1786	165	2409	0	2984	0	1223	0	0	11	0	0	0	0	826	4419	1144	4047	765	2545	484	0	2755	0
32d6c01bf4d11274e1946eab163525e5	0	1884	0	2218	0	2841	0	1185	0	0	0	0	0	0	0	758	4302	973	3885	684	2661	514	0	2684	0
b58a135e77aabb1d52eb68fc9aa50907	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	645	12	1435	0	896	0	641	0	0	0
1dbcee9641698e57fc6fdb97926ddbdd	0	380	0	870	0	913	0	678	0	1419	0	1522	0	0	2502	846	2806	1249	1006	977	858	1064	880	1791	1958
d0d80bc24cc49d20e7469034838e1947	0	0	0	0	0	0	6	0	10	0	0	0	0	0	0	572	0	1388	0	910	0	631	0	0	0
6499ead3e1d760b9d8df06b6153cf79e	20	820	20	0	2180	5	2251	5	3799	122	1955	0	0	3034	6250	9	4613	4	6	5	0	0	0	0	0
6a8d72f817573a06e625fb682beace52	7	2349	0	661	0	599	0	902	0	464	0	341	0	0	606	324	688	592	471	398	105	146	124	52	222
a067c96dfe659684c120eacfbf95ebed	0	97	0	74	0	67	0	44	0	0	0	36	0	0	25	0	1024	0	336	0	208	0	0	0	0
54f0ff73fd67c32da4291f2887f64f69	506	2566	384	1371	270	1131	771	1365	0	903	0	133	0	0	2821	0	2419	0	1539	0	1187	0	541	512	1422
4ad0baf420f935ea0643e54452682f29	0	0	0	0	105	6	475	0	3	0	0	0	6	0	0	9	16	0	3	0	0	0	0	2	0
7e8fcf98bd790f83cd037fdb1976935c	0	106	0	5	0	11	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9f6bc00e3bdaa11325283e5d927772b4	0	0	0	1841	0	1730	0	1192	0	0	10	2868	8	0	0	0	0	2310	0	1975	0	0	1824	0	3778
7261bc41d91d374d9f39030db710261b	0	7	0	15	0	0	4	10	0	0	0	0	0	0	0	4168	63	5647	15	3864	20	4235	0	923	0
d2f2a3526ab9365bf3a18ae498ac0a4f	0	0	0	0	0	0	5	0	5	0	0	0	0	0	3	1614	13	2205	5	1572	0	1957	0	480	0
34e19a0da506a1f147e021f3944de79e	0	7	0	37	0	0	0	9	0	0	0	0	0	0	0	3220	14	2802	0	2133	0	2915	0	0	16
68572c83f460ba35e3941313fbf82bae	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	2329	0	3381	0	1310	0	973	0	0	0
e8c556d9370aa6ed366ebfaff0b48100	196	145	284	1216	66	552	77	228	8	0	0	0	0	0	12	181	910	246	370	206	329	207	527	386	1145
04f887b0e1ab65ea86e6c5f9e82b1c83	0	0	0	0	0	0	0	0	4044	0	2362	0	987	2985	0	0	3158	0	759	0	594	0	0	0	0
d937376f2d0cff8d469896041ea17c08	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	3058	0	4978	0	4169	6	3331	12	25	263
7a22e4b8715be91e64f7412a477b7be8	343	71	481	369	163	355	408	481	0	12	0	0	0	0	0	0	1733	0	643	0	414	0	35	16	28
5428dfa2e1d7e11c464aeeede3cacc6b	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1078	8	10422	8	582	19	264	5	0	717	6
4f48cad9efca94d4d0f968d800915c7d	1020	1035	668	1299	545	1557	1846	618	0	0	0	0	0	0	0	421	2363	563	2101	443	1398	293	0	1456	0
a59a0e9235838399fea8696f6c0e1735	125	0	136	0	398	0	1911	0	456	0	273	2	0	0	0	3172	54	311	0	192	1271	352	904	56	181
fd1fc6009f022cb7a77821b72cec32a8	1670	0	1525	0	324	0	798	0	7317	0	1701	0	0	3634	4	10	0	0	0	6	0	0	0	7	0
c6c2fd5c74183b81b3ca3c623861ad42	0	0	0	1048	0	109	0	163	0	0	0	0	0	0	0	0	3041	0	2337	0	1486	0	1806	2007	4377
0bc4f6438f56e9747b81fc2bb41f3eb8	479	0	633	0	247	0	601	0	4154	52	909	0	0	1458	1027	605	451	1276	0	1213	0	642	106	0	128
4e423e960de3b2410dbec309b5fcb7b7	0	309	0	112	0	18	0	291	0	344	0	167	0	0	484	0	515	0	126	0	6	0	0	0	0
b8552e2383267692844aa9a8018da60e	0	720	0	570	0	539	0	351	0	94	0	406	0	0	428	0	11225	0	3053	6	1657	7	0	7	3
d37c6f5427bc26b79fb654ae0e4b0917	71	259	92	1196	1006	756	1204	573	0	0	0	0	0	0	1505	1850	0	2387	0	709	0	847	0	0	0
8ae89398dd4892a068b60203faed1d78	0	2073	0	1141	0	1071	0	1102	16	724	0	133	0	0	2556	0	2202	0	1380	0	1060	0	447	483	1244
22d34e55873a0744233839de60d266fd	0	0	0	19	0	17	0	0	0	0	0	0	0	0	6	2018	49	2565	0	1863	0	2083	0	448	0
